img;txt;data;conta;horarios
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\85.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\85.txt;7/5/2021;sobremesas_diarias;6:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1244.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1244.txt;7/6/2021;sobremesas_diarias;1:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1820.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1820.txt;7/6/2021;sobremesas_diarias;3:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1419.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1419.txt;7/6/2021;sobremesas_diarias;6:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\143.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\143.txt;7/7/2021;sobremesas_diarias;1:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1739.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1739.txt;7/7/2021;sobremesas_diarias;3:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\2061.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\2061.txt;7/7/2021;sobremesas_diarias;6:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\128.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\128.txt;7/8/2021;sobremesas_diarias;1:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\641.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\641.txt;7/8/2021;sobremesas_diarias;3:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1392.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1392.txt;7/8/2021;sobremesas_diarias;6:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\40.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\40.txt;7/9/2021;sobremesas_diarias;1:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1638.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1638.txt;7/9/2021;sobremesas_diarias;3:00 P
